id,source,source_label,contract,function,bug_line,pattern,description,source_file,status
numscout_WANGMI,numscout,div_in_path,WANGMI,_transfer,428,div_in_path,fees.mul(sellLiquidityFee).div(sellTotalFees) precision loss causes tokensForLiquidity to not increase,Dataset/Numscout/contraction/div_in_path/WANGMI_contraction.json,annotated
numscout_Nokon,numscout,exchange_problem,Nokon,buy,51,exchange_problem,msg.value/ethRateFix*calculateRate() division-first causes precision loss in token amount,Dataset/Numscout/contraction/exchange_problem/Nokon_contraction.json,annotated
numscout_SwordCrowdsale,numscout,greedy_contract,SwordCrowdsale,refundMoney,33,greedy_contract,weiRaised -= amount missing causes Ether to be permanently locked,Dataset/Numscout/contraction/greedy_contract/SwordCrowdsale_contraction.json,annotated
numscout_BoostToken_operator,numscout,operator_order_issue,BoostToken,sendETHToTeam,141;142,operator_order_issue,amount.div(12).mul(5) and amount.div(9).mul(2) division-first causes precision loss,Dataset/Numscout/contraction/operator_order_issue/BoostToken_contraction.json,annotated
numscout_BoostToken_indivisible,numscout,indivisible_amount,BoostToken,sendETHToTeam,933;934;935;936,indivisible_amount,"amount.div(4), amount.div(12), amount.div(9) produce zero for small amounts",Dataset/Numscout/contraction/indivisible_amount/BoostToken_contraction.sol,annotated
numscout_EthereumGod,numscout,precision_loss_trend,EthereumGod,swapAndLiquify,937;941;942;956,precision_loss_trend,Multiple chained div/mul operations in fee splitting accumulate precision loss,Dataset/Numscout/contraction/precision_loss_trend/EthereumGod_contraction.sol,not_detectable,interface-call-return-top
numscout_HippoHotel,numscout,precision_loss_trend,HippoHotel,withdrawAll,1937,precision_loss_trend,balance.mul(25).div(100) truncation causes uneven fund distribution,Dataset/Numscout/contraction/precision_loss_trend/HippoHotel_contraction.sol,not_detectable,unsupported-construct-top
numscout_HIT,numscout,profit_opportunity,HIT,getTokens,126;144,profit_opportunity,Exchange rounding allows receiving tokens without sufficient payment,Dataset/Numscout/contraction/profit_opportunity/HIT_contraction.sol,annotated
web3bugs_35_H_12,web3bugs,S6-1,ConcentratedLiquidityPool,mint,176;184,erroneous_accounting,ConcentratedLiquidityPool: secondsPerLiquidity should be modified whenever pool liquidity changes,Dataset/Web3Bugs/S6_1/contest_35_H_12,not_detectable,missing-code
web3bugs_43_H_02,web3bugs,S6-1,DelegatedStaking,unstake,223;224;226,erroneous_accounting,unstake should update exchange rates first,Dataset/Web3Bugs/S6_1/contest_43_H_02,excluded_fixed_code
web3bugs_45_H_01,web3bugs,S6-1,UToken,borrow,403;409;413,erroneous_accounting,borrow must accrueInterest first,Dataset/Web3Bugs/S6_1/contest_45_H_01,annotated
web3bugs_45_H_02,web3bugs,S6-1,CreditLimitByMedian,getLockedAmount,66,erroneous_accounting,Wrong implementation of CreditLimitByMedian.sol#getLockedAmount() makes it unable to unlock lockedAmount in CreditLimitByMedian model,Dataset/Web3Bugs/S6_1/contest_45_H_02,not_detectable,loop-body-granularity
web3bugs_83_H_02,web3bugs,S6-1,MasterChef,deposit,170;171;172,erroneous_accounting,Masterchef: Improper handling of deposit fee,Dataset/Web3Bugs/S6_1/contest_83_H_02,not_detectable,no-target-storage
web3bugs_112_H_01,web3bugs,S6-1,StakerVault,transfer,112;113;117;118,erroneous_accounting,User can steal all rewards due to checkpoint after transfer,Dataset/Web3Bugs/S6_1/contest_112_H_01,annotated
web3bugs_3_H_04,web3bugs,S6-2,HourlyBondSubscriptionLending,viewHourlyBondAmount,96;97,erroneous_accounting,Inconsistent usage of applyInterest,Dataset/Web3Bugs/S6_2/contest_3_H_04,not_detectable,loop-widening-precision-loss
web3bugs_61_H_02,web3bugs,S6-2,SavingsAccountUtil,savingsAccountTransfer,75;77;79,erroneous_accounting,Wrong returns of SavingsAccountUtil.depositFromSavingsAccount() can cause fund loss,Dataset/Web3Bugs/S6_2/contest_61_H_02,not_detectable,interface-call-return-top
web3bugs_101_H_01,web3bugs,S6-2,LenderPool,_calculatePrincipalWithdrawable,678;679;680,erroneous_accounting,LenderPool: Principal withdrawable is incorrectly calculated if start() is invoked with non-zero start fee,Dataset/Web3Bugs/S6_2/contest_101_H_01,not_detectable,interface-call-return-top
web3bugs_110_H_01,web3bugs,S6-2,StakedCitadel,balance,293;294,erroneous_accounting,StakedCitadel doesn’t use correct balance for internal accounting,Dataset/Web3Bugs/S6_2/contest_110_H_01,not_detectable,interface-call-return-top
web3bugs_5_H_15,web3bugs,S6-3,Router,swapWithSynthsWithLimit,170,erroneous_accounting,Wrong slippage protection on Token -> Token trades,Dataset/Web3Bugs/S6_3/contest_5_H_15,not_detectable,interface-call-return-top
web3bugs_14_H_01,web3bugs,S6-3,IdleYieldSource,redeemToken,131,erroneous_accounting,User could lose underlying tokens when redeeming from the IdleYieldSource,Dataset/Web3Bugs/S6_3/contest_14_H_01,not_detectable,interface-call-return-top
web3bugs_14_H_03,web3bugs,S6-3,BadgerYieldSource,balanceOfToken,36,erroneous_accounting,BadgerYieldSource balanceOfToken share calculation seems wrong,Dataset/Web3Bugs/S6_3/contest_14_H_03,not_detectable,interface-call-return-top
web3bugs_16_H_02,web3bugs,S6-3,Pricing,updateFundingRate,155;159,erroneous_accounting,Use of incorrect index leads to incorrect updation of funding rates,Dataset/Web3Bugs/S6_3/contest_16_H_02,excluded,multi-transaction
web3bugs_29_H_11,web3bugs,S6-3,ConstantProductPool,burnSingle,175;183,erroneous_accounting,ConstantProductPool.burnSingle swap amount computations should use balance,Dataset/Web3Bugs/S6_3/contest_29_H_11,not_detectable,interface-call-return-top
web3bugs_35_H_10,web3bugs,S6-3,ConcentratedLiquidityPool,burn,264;265,erroneous_accounting,ConcentratedLiquidityPool.burn() Wrong implementation,Dataset/Web3Bugs/S6_3/contest_35_H_10,not_detectable,missing-code
web3bugs_42_H_01,web3bugs,S6-3,MochiVault,borrow,248,erroneous_accounting,Vault fails to track debt correctly that leads to bad debt,Dataset/Web3Bugs/S6_3/contest_42_H_01,not_detectable,interface-call-return-top
web3bugs_47_H_02,web3bugs,S6-3,WrappedIbbtcEth,transferFrom,111,erroneous_accounting,Approved spender can spend too many tokens,Dataset/Web3Bugs/S6_3/contest_47_H_02,annotated
web3bugs_51_H_06,web3bugs,S6-3,SwapUtils,addLiquidity,1231,erroneous_accounting,Ideal balance is not calculated correctly when providing imbalanced liquidity,Dataset/Web3Bugs/S6_3/contest_51_H_06,not_detectable,inexpressible-expected-value
web3bugs_52_H_16,web3bugs,S6-3,VaderRouter,calculateOutGivenIn,488;489;490;491,erroneous_accounting,VaderRouter.calculateOutGivenIn calculates wrong swap,Dataset/Web3Bugs/S6_3/contest_52_H_16,not_detectable,interface-call-return-top
web3bugs_62_H_10,web3bugs,S6-3,Stream,recoverTokens,654,erroneous_accounting,recoverTokens doesn’t work when isSale is true,Dataset/Web3Bugs/S6_3/contest_62_H_10,not_detectable,missing-code
web3bugs_66_H_02,web3bugs,S6-3,sYETIToken,rebase,297,erroneous_accounting,Yeti token rebase checks the additional token amount incorrectly,Dataset/Web3Bugs/S6_3/contest_66_H_02,excluded_fixed_code
web3bugs_78_H_02,web3bugs,S6-3,RebaseProxy,mint,36,erroneous_accounting,wrong minting amount,Dataset/Web3Bugs/S6_3/contest_78_H_02,not_detectable,interface-call-return-top
web3bugs_101_H_02,web3bugs,S6-3,LenderPool,terminate,389;400,erroneous_accounting,PooledCreditLine: termination likely fails because _principleWithdrawable is treated as shares,Dataset/Web3Bugs/S6_3/contest_101_H_02,not_detectable,interface-call-return-top
web3bugs_3_H_05,web3bugs,S6-4,CrossMarginAccounts,belowMaintenanceThreshold,203,erroneous_accounting,Wrong liquidation logic,Dataset/Web3Bugs/S6_4/contest_3_H_05,not_detectable,external-call-state-unknown
web3bugs_5_H_07,web3bugs,S6-4,Utils,calcAsymmetricShare,273,erroneous_accounting,Wrong calcAsymmetricShare calculation,Dataset/Web3Bugs/S6_4/contest_5_H_07,annotated
web3bugs_5_H_08,web3bugs,S6-4,Utils,calcLiquidityUnits,239,erroneous_accounting,Wrong liquidity units calculation,Dataset/Web3Bugs/S6_4/contest_5_H_08,annotated
web3bugs_5_H_12,web3bugs,S6-4,Pools,getAddedAmount,201,erroneous_accounting,getAddedAmount can return wrong results,Dataset/Web3Bugs/S6_4/contest_5_H_12,not_detectable,interface-call-return-top
web3bugs_8_H_03,web3bugs,S6-4,NFTXVaultUpgradeable,getRandomTokenIdFromFund,414,erroneous_accounting,getRandomTokenIdFromFund yields wrong probabilities for ERC1155,Dataset/Web3Bugs/S6_4/contest_8_H_03,not_detectable,unsupported-construct-top
web3bugs_16_H_04,web3bugs,S6-4,Balances,applyTrade,187,erroneous_accounting,Logic error in fee subtraction,Dataset/Web3Bugs/S6_4/contest_16_H_04,excluded,missing-dependency
web3bugs_16_H_06,web3bugs,S6-4,GasOracle,latestAnswer,32;33;35,erroneous_accounting,Wrong price scale for GasOracle,Dataset/Web3Bugs/S6_4/contest_16_H_06,not_detectable,interface-call-return-top
web3bugs_17_H_02,web3bugs,S6-4,Buoy3Pool,safetyCheck,88,erroneous_accounting,Buoy3Pool.safetyCheck is not precise and has some assumptions,Dataset/Web3Bugs/S6_4/contest_17_H_02,not_detectable,interface-call-return-top
web3bugs_25_H_01,web3bugs,S6-4,CompositeMultiOracle,_peek;_get,116;126,erroneous_accounting,CompositeMultiOracle returns wrong decimals for prices?,Dataset/Web3Bugs/S6_4/contest_25_H_01,not_detectable,interface-call-return-top
web3bugs_25_H_05,web3bugs,S6-4,CTokenMultiOracle,_setSource,110,erroneous_accounting,Exchange rates from Compound are assumed with 18 decimals,Dataset/Web3Bugs/S6_4/contest_25_H_05,not_detectable,inexpressible-expected-value
web3bugs_29_H_05,web3bugs,S6-4,HybridPool,_nonOptimalMintFee,433,erroneous_accounting,hybrid pool uses wrong non_optimal_mint_fee,Dataset/Web3Bugs/S6_4/contest_29_H_05,not_detectable,inexpressible-expected-value
web3bugs_29_H_08,web3bugs,S6-4,HybridPool,_getReserves,255;256,erroneous_accounting,HybridPool’s reserve is converted to “amount” twice,Dataset/Web3Bugs/S6_4/contest_29_H_08,not_detectable,interface-call-return-top
web3bugs_29_H_14,web3bugs,S6-4,IndexPool,_computeSingleOutGivenPoolIn,279,erroneous_accounting,Incorrect usage of _pow in _computeSingleOutGivenPoolIn of IndexPool,Dataset/Web3Bugs/S6_4/contest_29_H_14,excluded,overflow-revert
web3bugs_29_H_15,web3bugs,S6-4,IndexPool,_computeSingleOutGivenPoolIn,282,erroneous_accounting,Incorrect multiplication in _computeSingleOutGivenPoolIn of IndexPool,Dataset/Web3Bugs/S6_4/contest_29_H_15,excluded,overflow-revert
web3bugs_31_H_01,web3bugs,S6-4,MyStrategy,manualRebalance,469;471;477,erroneous_accounting,veCVXStrategy.manualRebalance has wrong logic,Dataset/Web3Bugs/S6_4/contest_31_H_01,not_detectable,interface-call-return-top
web3bugs_34_H_01,web3bugs,S6-4,DrawCalculator,_numberOfPrizesForIndex,422;423;424,erroneous_accounting,The formula of number of prizes for a degree is wrong,Dataset/Web3Bugs/S6_4/contest_34_H_01,not_detectable,loop-widening
web3bugs_35_H_08,web3bugs,S6-4,ConcentratedLiquidityPool,mint;burn,176;242,erroneous_accounting,Wrong inequality when adding/removing liquidity in current price range,Dataset/Web3Bugs/S6_4/contest_35_H_08,not_detectable,unsupported-construct-top
